[03-Nov-2021 11:07:38 UTC] PHP Notice:  is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:08:40 UTC] PHP Warning:  require(/Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/packages/woocommerce-admin/src/WCAdminSharedSettings.php): failed to open stream: No such file or directory in /Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/vendor/jetpack-autoloader/class-php-autoloader.php on line 87
[03-Nov-2021 11:08:40 UTC] PHP Fatal error:  require(): Failed opening required '/Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/packages/woocommerce-admin/src/WCAdminSharedSettings.php' (include_path='.:/usr/local/Cellar/php/7.4.6_1/share/php/pear') in /Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/vendor/jetpack-autoloader/class-php-autoloader.php on line 87
[03-Nov-2021 11:08:40 UTC] PHP Notice:  is_page was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:08:40 UTC] PHP Notice:  is_singular was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:08:40 UTC] PHP Notice:  is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:08:40 UTC] PHP Notice:  is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /Users/clive/Sites/StoneacreMotorhomes2/wp-includes/functions.php on line 5663
[03-Nov-2021 11:12:03 UTC] WordPress database error Table 'stoneacre_motorhomes.wp_litespeed_url_file' doesn't exist for query DELETE FROM wp_litespeed_url_file WHERE `type` = 1 made by activate_plugin, do_action('activated_plugin'), WP_Hook->do_action, WP_Hook->apply_filters, et_core_page_resource_auto_clear, ET_Core_PageResource::remove_static_resources, et_core_clear_wp_cache, do_action('litespeed_purge_all'), WP_Hook->do_action, WP_Hook->apply_filters, LiteSpeed\Purge::purge_all, LiteSpeed\Purge->_purge_all, LiteSpeed\Purge->_purge_all_cssjs, LiteSpeed\Data->url_file_clean
[03-Nov-2021 11:12:03 UTC] WordPress database error Table 'stoneacre_motorhomes.wp_litespeed_url_file' doesn't exist for query DELETE FROM wp_litespeed_url_file WHERE `type` = 2 made by activate_plugin, do_action('activated_plugin'), WP_Hook->do_action, WP_Hook->apply_filters, et_core_page_resource_auto_clear, ET_Core_PageResource::remove_static_resources, et_core_clear_wp_cache, do_action('litespeed_purge_all'), WP_Hook->do_action, WP_Hook->apply_filters, LiteSpeed\Purge::purge_all, LiteSpeed\Purge->_purge_all, LiteSpeed\Purge->_purge_all_cssjs, LiteSpeed\Data->url_file_clean
[03-Nov-2021 11:12:24 UTC] PHP Warning:  require(/Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/packages/woocommerce-admin/src/WCAdminSharedSettings.php): failed to open stream: No such file or directory in /Users/clive/Sites/StoneacreMotorhomes2/wp-content/plugins/woocommerce/vendor/jetpack-autoloader/class-php-autoloader.php on line 87
